Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
Alemanha,5.809,30.461
Angola,5.850,21.060
Antigua e Barbuda,-,-
Antilhas Holandesas,-,-
Argentina,-,-
Aruba,-,-
Australia,767,5.809
Bahamas,270,2.700
Bangladesh,-,-
Barbados,-,-
Belgica,1.100,6.078
Benin,-,-
Bermudas,-,-
Bolívia,-,-
Bósnia-Herzegovina,-,-
Bulgaria,-,-
Cabo Verde,-,-
Camarões,-,-
Canada,10.371,36.809
Catar,-,-
"Cayman, Ilhas",-,-
Chile,-,-
China,795,6.572
Chipre,-,-
Cingapura,-,-
Colombia,22,196
"Coreia do Sul, Republica da",-,-
Costa Rica,-,-
Cuba,-,-
Curaçao,-,-
Dinamarca,3.164,16.628
Djibuti,-,-
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,-,-
Equador,-,-
Espanha,3.375,22.468
Estados Unidos,91.987,364.136
Estonia,-,-
Falkland (Malvinas),-,-
Filipinas,-,-
Filânldia,693,9.556
França,5.400,22.664
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,-,-
Guatemala,-,-
Guiana,14,93
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,48,174
Honduras,-,-
Hong Kong,586,4.149
Hungria,-,-
Ilha de Man,-,-
Índia,-,-
Iraque,-,-
Irlanda,1.373,14.599
Islândia,-,-
Itália,315,1.926
Japão,17.009,83.445
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Luxemburgo,765,3.973
Maldivas,-,-
Malta,-,-
Marrocos,-,-
"Marshall, Ilhas",-,-
Montenegro,-,-
México,-,-
Nicarágua,-,-
Nigéria,-,-
Noruega,567,3.904
Nova Zelândia,150,970
Países Baixos (Holanda),1.822,10.000
Panamá,-,-
Paraguai,23.603,81.321
Peru,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,-,-
Quênia,1,1
Reino Unido,13.900,73.941
Republica Dominicana,-,-
Republica Tcheca,158,1.755
Rússia,-,-
Serra Leoa,-,-
Sérvia,-,-
Singapura,-,-
Suécia,450,6.470
Suíça,1.620,14.014
Suriname,-,-
Tailândia,-,-
Taiwan (Formosa),-,-
"Tcheca, República",-,-
Togo,-,-
Trinidade e Tobago,-,-
Turquia,-,-
Uruguai,22.717,82.754
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
Outros(1),-,-
Total,214.701,928.626
