Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,117,698
"Alemanha, República Democrática",4.806,31.853
Angola,-,-
Anguilla,-,-
Antígua e Barbuda,383,1.848
Antilhas Holandesas,-,-
Arábia Saudita,124,142
Argélia,-,-
Argentina,4.545,36.133
Aruba,-,-
Austrália,2.485,13.565
Áustria,-,-
Bahamas,1.348,7.402
Bangladesh,-,-
Barbados,58,303
Barein,283,1.684
Bélgica,95,683
Belice,-,-
Benin,-,-
Bermudas,16,153
Bolívia,21.926,36.950
Bósnia-Herzegovina,-,-
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,11.539,42.179
Catar,5,18
"Cayman, Ilhas",438,2.632
Chile,9,63
China,73.917,183.096
Chipre,524,2.995
Cingapura,-,-
"Cocos (Keeling), Ilhas",-,-
Colômbia,450,1.259
Comores,-,-
Congo,17.100,26.600
"Coreia, Republica Sul",25,171
Costa do Marfim,-,-
Costa Rica,-,-
Coveite (Kuweit),-,-
Croácia,-,-
Cuba,-,-
Curaçao,25.135,40.807
Dinamarca,1.734,15.261
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,1.417,6.762
Equador,2.790,4.392
"Eslovaca, Republica",-,-
Espanha,180,4.171
Estados Unidos,229.839,429.091
Estônia,-,-
Filipinas,94,334
Finlândia,5,11
França,2.265,14.722
Gabão,-,-
Gana,7.237,29.473
Gibraltar,-,-
Granada,-,-
Grécia,1.294,3.214
Guatemala,2.053,3.758
Guiana,33.651,88.715
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,-,-
Haiti,559.645,871.661
Honduras,-,-
Hong Kong,16.255,71.025
Hungria,-,-
Ilha de Man,1.428,4.533
Ilhas Virgens,-,-
Índia,60,170
Indonésia,9,30
Irã,-,-
Iraque,-,-
Irlanda,150,377
Itália,2.922,27.665
Jamaica,-,-
Japão,22.942,57.780
Jordânia,-,-
Letônia,8,8
Líbano,-,-
Libéria,39.784,42.463
Luxemburgo,581,7.048
Macau,7,6
Malásia,-,-
Malavi,3.660,6.252
Malta,6.561,24.199
"Marshall, Ilhas",7.417,31.691
Martinica,9,31
Mauritânia,-,-
México,3,19
Moçambique,-,-
Montenegro,-,-
Namíbia,-,-
Nicarágua,-,-
Nigéria,10.800,16.464
Noruega,861,4.243
Nova Caledônia,-,-
Nova Zelândia,338,7.177
Omã,-,-
Países Baixos,2.244,4.958
Palau,45,143
Panamá,14.785,68.173
Paraguai,3.780.378,5.517.263
Peru,47.277,84.282
Pitcairn,11,22
Polônia,298,590
Porto Rico,-,-
Portugal,13.742,46.311
Quênia,-,-
Reino Unido,11.326,84.547
República Dominicana,-,-
Rússia,-,-
São Cristóvão e Névis,16,31
São Tomé e Príncipe,-,-
São Vicente e Granadinas,39,139
Senegal,-,-
Serra Leoa,23.200,38.548
Sérvia,-,-
Singapura,3.941,19.781
Suazilândia,-,-
Suécia,-,-
Suíça,2.500,28.763
Suriname,3.105,5.235
Tailândia,189,1.387
Taiwan (Formosa),4.208,19.998
Tanzânia,-,-
"Tcheca, República",405,3.348
Togo,14.550,25.235
Toquelau,3,10
Trinidade Tobago,-,-
Tunísia,-,-
Turquia,28.104,95.421
Tuvalu,-,-
Uruguai,326.093,454.271
Vanuatu,-,-
Venezuela,141.030,220.512
Vietnã,72,128
Total,5.538.888,8.923.076
