Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
Alemanha,6.256,30.939
Angola,-,-
Antigua e Barbuda,-,-
Antilhas Holandesas,-,-
Argentina,-,-
Aruba,-,-
Australia,235,1.368
Bahamas,-,-
Bangladesh,-,-
Barbados,-,-
Belgica,900,5.280
Benin,-,-
Bermudas,-,-
Bolívia,2.418,11.355
Bósnia-Herzegovina,-,-
Bulgaria,-,-
Cabo Verde,-,-
Camarões,-,-
Canada,2.405,15.821
Catar,-,-
"Cayman, Ilhas",-,-
Chile,-,-
China,23.520,48.739
Chipre,-,-
Cingapura,-,-
Colombia,-,-
"Coreia do Sul, Republica da",-,-
Costa Rica,-,-
Cuba,-,-
Curaçao,-,-
Dinamarca,726,4.376
Djibuti,-,-
Dominica,-,-
El Salvador,-,-
Emirados Arabes Unidos,-,-
Equador,-,-
Espanha,-,-
Estados Unidos,18.450,92.868
Estonia,-,-
Falkland (Malvinas),-,-
Filipinas,-,-
Filânldia,-,-
França,16.246,203.297
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,-,-
Guatemala,-,-
Guiana,22,221
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,-,-
Honduras,-,-
Hong Kong,414,2.693
Hungria,-,-
Ilha de Man,-,-
Índia,-,-
Iraque,-,-
Irlanda,-,-
Islândia,-,-
Itália,-,-
Japão,1.826,18.118
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Luxemburgo,-,-
Maldivas,-,-
Malta,-,-
Marrocos,-,-
"Marshall, Ilhas",-,-
Montenegro,-,-
México,-,-
Nicarágua,-,-
Nigéria,-,-
Noruega,3.192,10.099
Nova Zelândia,233,822
Países Baixos (Holanda),1.665,7.907
Panamá,-,-
Paraguai,29.016,70.845
Peru,-,-
Polônia,225,2.310
Porto Rico,45,1.736
Portugal,-,-
Quênia,-,-
Reino Unido,16.511,97.055
Republica Dominicana,-,-
Republica Tcheca,23,278
Rússia,-,-
Serra Leoa,-,-
Sérvia,-,-
Singapura,-,-
Suécia,292,2.190
Suíça,1.080,9.648
Suriname,8,19
Tailândia,-,-
Taiwan (Formosa),-,-
"Tcheca, República",-,-
Togo,-,-
Trinidade e Tobago,-,-
Turquia,-,-
Uruguai,19.574,74.551
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
Outros(1),-,-
Total,145.282,712.535
