Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
"Alemanha, República Democrática da",-,-
Angola,160,1.185
Antígua e Barbuda,-,-
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,-,-
Argentina,780,5.843
Aruba,-,-
Austrália,800,3.047
Áustria,-,-
Bahamas,-,-
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,-,-
Belize,-,-
Benin,-,-
Bermudas,-,-
Birmânia,-,-
Bolívia,11.797,26.003
Brasil,-,-
Bulgária,-,-
Cabo Verde,180,330
Camarões,1.159,2.441
Canadá,2.355,5.377
Catar,-,-
"Cayman, Ilhas",-,-
Chile,1.448,2.208
China,16.815,32.594
Chipre,-,-
Cingapura,6.300,10.510
Colômbia,-,-
Congo,-,-
Coreia do Sul,-,-
Costa do Marfim,-,-
Costa Rica,3.026,12.611
Coveite,-,-
Cuba,-,-
Curaçao,810,1.872
Dinamarca,-,-
"Dominica, Ilha de",-,-
El Salvador,-,-
Emirados Árabes Unidos,-,-
Equador,-,-
Espanha,-,-
Estados Unidos,32.252,69.200
Falkland (Malvinas),-,-
Filipinas,-,-
Finlândia,-,-
França,-,-
Gabão,-,-
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guiné Bissau,-,-
Guine Equatorial,-,-
Haiti,-,-
Hong Kong,19.211,33.468
Hungria,-,-
Ilha de Man,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Israel,-,-
Itália,-,-
Iugoslâvia,-,-
Jamaica,-,-
Japão,1.890.810,5.330.360
Líbano,-,-
Libéria,-,-
Líbia,-,-
Luxemburgo,-,-
Malásia,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,76.435,279.378
Moçambique,-,-
Mônaco,-,-
Montenegro,-,-
Namíbia,-,-
Nigéria,-,-
Noruega,-,-
Nova Caledônia,-,-
Nova Zelândia,-,-
Países Baixos,90,234
Panamá,-,-
Paquistão,-,-
Paraguai,120.644,188.985
Peru,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,-,-
Quênia,-,-
Reino Unido,457,929
República Centro Africana,-,-
República Dominicana,44.520,169.620
República Federativa da Rússia,-,-
Rússia,-,-
São Tomé e Príncipe,120,442
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Sri Lanka,-,-
Suécia,-,-
Suíça,-,-
Suriname,19.000,71.250
Tailândia,6.720,23.275
Taiwan (Formosa),-,-
Tanzânia,-,-
"Tcheca, República",194,457
Togo,-,-
Toquelau,-,-
Trinidade e Tobago,18.550,63.977
Turquia,-,-
Uruguai,-,-
Vanuatu,-,-
Venezuela,-,-
Total,2.274.633,6.335.596
