Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
Alemanha,4.092,21.373
Angola,63,280
Antigua e Barbuda,-,-
Antilhas Holandesas,-,-
Argentina,4.342,17.243
Aruba,18,7
Australia,-,-
Bahamas,5,17
Bangladesh,-,-
Barbados,-,-
Belgica,1.800,10.555
Benin,-,-
Bermudas,-,-
Bolívia,5.891,25.277
Bósnia-Herzegovina,-,-
Bulgaria,-,-
Cabo Verde,-,-
Camarões,90,284
Canada,23,94
Catar,-,-
"Cayman, Ilhas",-,-
Chile,25.481,208.521
China,19.490,58.871
Chipre,-,-
Cingapura,47.214,135.547
Colombia,2.309,8.637
"Coreia do Sul, Republica da",3,15
Costa Rica,-,-
Cuba,1,2
Curaçao,801,2.256
Dinamarca,662,3.530
Djibuti,-,-
Dominica,-,-
El Salvador,1,10
Emirados Arabes Unidos,-,-
Equador,-,-
Espanha,2.271,9.453
Estados Unidos,28.542,172.961
Estonia,-,-
Falkland (Malvinas),-,-
Filipinas,-,-
Filânldia,-,-
França,2.163,9.147
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,63,391
Guatemala,206,1.052
Guiana,-,-
Guiné Equatorial,-,-
Guiné-Bissau,-,-
Haiti,-,-
Honduras,-,-
Hong Kong,225,1.704
Hungria,-,-
Ilha de Man,-,-
Índia,-,-
Iraque,-,-
Irlanda,-,-
Islândia,-,-
Itália,1.307,5.331
Japão,7.853,34.532
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,300,444
Luxemburgo,113,655
Maldivas,-,-
Malta,-,-
Marrocos,-,-
"Marshall, Ilhas",158,604
Montenegro,-,-
México,737,2.476
Nicarágua,-,-
Nigéria,976,4.029
Noruega,81,300
Nova Zelândia,15,168
Países Baixos (Holanda),-,-
Panamá,319,740
Paraguai,92.114,205.510
Peru,1.577,6.379
Polônia,23.099,73.608
Porto Rico,100,1.512
Portugal,1.552,23.255
Quênia,-,-
Reino Unido,14.626,72.651
Republica Dominicana,-,-
Republica Tcheca,-,-
Rússia,47.765,18.240
Serra Leoa,-,-
Sérvia,-,-
Singapura,-,-
Suécia,54,218
Suíça,-,-
Suriname,-,-
Tailândia,-,-
Taiwan (Formosa),-,-
"Tcheca, República",-,-
Togo,-,-
Trinidade e Tobago,-,-
Turquia,-,-
Uruguai,9.265,34.039
Vanuatu,-,-
Venezuela,5,10
Vietnã,-,-
Outros(1),-,-
Total,347.772,1.171.928
