Países,Quantidade (Kg),Valor (US$)
Africa do Sul,-,-
"Alemanha, República Democrática",807.805,2.269.851
Angola,-,-
Antígua e Barbuda,521,2.562
Arabia Saudita,810,2.823
Argélia,-,-
Argentina,3.598.586,9.699.174
Áustria,-,-
Bahamas,7.271,37.123
Bahrein,-,-
Bangladesh,36,108
Barbados,192,794
Barein,337,1.653
Bélgica,25.123,52.889
Belize,10,26
Bermudas,85,473
Bolívia,183.446,78.242
Bósnia,-,-
Brasil,421,2.732
Bulgária,25,86
Burquina Faso,-,-
Cabo Verde,-,-
Camarões,-,-
Camores,-,-
Canadá,1.202.044,3.728.127
Catar,3.000,20.370
"Cayman, Ilhas",294,1.409
Chile,-,-
China,605,2.626
Chipre,1.091,4.869
Cingapura,-,-
"Cocos (Keeling), Ilhas",-,-
"Cook, Ilhas",70,404
Colômbia,-,-
Congo,-,-
Coreia do Norte,-,-
Coreia do Sul,260,856
Costa do Marfim,-,-
Coveite,4.281,36.645
Croácia,26,103
Curaçao,-,-
Dinamarca,2.898,14.531
Djibuti,-,-
Egito,61,264
Emirados Árabes Unidos,157.066,825.912
Eslovênia,-,-
Espanha,5.729.378,10.190.948
Estados Unidos,13.824.702,39.761.539
Falkland (Ilhas Malvinas),-,-
"Faroé, Ilhas",-,-
Filipinas,153,463
Finlândia,-,-
França,257,1.318
Gabão,168,792
Gana,-,-
Georgia,-,-
Gibraltar,115,433
Grécia,3.274,10.778
Guadalupe,-,-
Guiana,4.928,19.841
Guiana Francesa,2.461,3.297
Guiné-Bissau,127,823
Guine Equatorial,-,-
Honduras,-,-
Hong Kong,7.882,47.227
Ilha de Man,258,1.139
Ilhas Virgens,-,-
Índia,285,1.218
Indonésia,-,-
Irã,-,-
Iraque,100,309
Irlanda,530.508,1.496.511
Islândia,-,-
Itália,46.743,78.055
Japão,358,1.578
Jérsei,-,-
Jordânia,20,54
Letônia,-,-
Líbano,20,84
Libéria,14.065,63.684
Líbia,-,-
Lituânia,-,-
Luxemburgo,90,423
Macedônia,-,-
Malásia,126,727
Malta,4.541,20.467
"Marianas do Norte, Ilhas",6,31
Marrocos,-,-
"Marshall, Ilhas",14.977,64.883
Martinica,82,519
Mauricio,-,-
Mauritânia,-,-
Mexico,-,-
Mônaco,-,-
Mongólia,-,-
Montenegro,-,-
Nigéria,-,-
Noruega,614.759,1.994.322
Omã,-,-
Países Baixos,20.023.743,49.326.481
Palau,50,289
Panamá,14.442,61.509
Paquistão,6,36
Paraguai,-,-
Pitcairn,-,-
Polônia,6,35
Porto Rico,-,-
Portugal,1.623,7.734
Quirguistão,-,-
Reino Unido,11.901.316,31.074.194
Republica Dominicana,-,-
Romênia,-,-
"Rússia,  Federação da",160,578
Samoa Americana,-,-
São Cristóvão e Névis,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Serra Leoa,5,13
Senegal,-,-
Singapura,6.778,30.362
Sri Lanka,-,-
Suazilândia,2,21
Suécia,10,42
Suíça,4.513,60.333
Suriname,-,-
Tailândia,737,4.120
Taiwan,-,-
Tanzânia,-,-
Togo,-,-
Trindade e Tobago,-,-
Tunísia,6,34
"Turcas e Caicos, ilhas",-,-
Turquia,400,1.965
Tuvalu,-,-
Uruguai,114.792,245.284
Vanuatu,7,16
Venezuela,20,79
Vietnã,5,21
"Wallis e Futuna, Ilhas",10,57
Provisão de Navios e Aeronaves,-,-
Total,58.865.378,151.359.318
