Países,Quantidade (Kg),Valor (US$)
Africa do Sul,-,-
"Alemanha, República Democrática",1.167.243,2.430.345
Angola,-,-
Antígua e Barbuda,-,-
Arabia Saudita,15.300,30.600
Argélia,-,-
Argentina,264.816,471.205
Áustria,-,-
Bahamas,-,-
Bahrein,-,-
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,122.727,271.655
Belize,-,-
Bermudas,-,-
Bolívia,-,-
Bósnia,-,-
Brasil,-,-
Bulgária,-,-
Burquina Faso,-,-
Cabo Verde,-,-
Camarões,-,-
Camores,-,-
Canadá,834.800,2.251.696
Catar,-,-
"Cayman, Ilhas",-,-
Chile,-,-
China,-,-
Chipre,-,-
Cingapura,-,-
"Cocos (Keeling), Ilhas",-,-
"Cook, Ilhas",-,-
Colômbia,-,-
Congo,-,-
Coreia do Norte,-,-
Coreia do Sul,-,-
Costa do Marfim,-,-
Coveite,-,-
Croácia,-,-
Curaçao,-,-
Dinamarca,12.480,34.597
Djibuti,-,-
Egito,-,-
Emirados Árabes Unidos,50.184,109.956
Eslovênia,-,-
Espanha,12.480,33.723
Estados Unidos,16.251.053,37.440.295
Falkland (Ilhas Malvinas),-,-
"Faroé, Ilhas",-,-
Filipinas,-,-
Finlândia,-,-
França,-,-
Gabão,-,-
Gana,-,-
Georgia,-,-
Gibraltar,-,-
Grécia,-,-
Guadalupe,-,-
Guiana,-,-
Guiana Francesa,-,-
Guiné-Bissau,-,-
Guine Equatorial,-,-
Honduras,-,-
Hong Kong,-,-
Ilha de Man,-,-
Ilhas Virgens,-,-
Índia,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,88.760,135.771
Islândia,-,-
Itália,115.000,315.501
Japão,-,-
Jérsei,-,-
Jordânia,-,-
Letônia,-,-
Líbano,-,-
Libéria,-,-
Líbia,-,-
Lituânia,114.350,245.434
Luxemburgo,-,-
Macedônia,-,-
Malásia,-,-
Malta,-,-
"Marianas do Norte, Ilhas",-,-
Marrocos,-,-
"Marshall, Ilhas",-,-
Martinica,-,-
Mauricio,-,-
Mauritânia,-,-
Mexico,-,-
Mônaco,-,-
Mongólia,-,-
Montenegro,-,-
Nigéria,-,-
Noruega,963.990,2.631.452
Omã,-,-
Países Baixos,25.334.471,56.063.878
Palau,-,-
Panamá,-,-
Paquistão,-,-
Paraguai,-,-
Pitcairn,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,18,28
Quirguistão,-,-
Reino Unido,13.266.351,31.910.142
Republica Dominicana,-,-
Romênia,-,-
"Rússia,  Federação da",501.930,893.448
Samoa Americana,-,-
São Cristóvão e Névis,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Serra Leoa,-,-
Senegal,-,-
Singapura,-,-
Sri Lanka,-,-
Suazilândia,-,-
Suécia,240.313,422.429
Suíça,-,-
Suriname,-,-
Tailândia,-,-
Taiwan,-,-
Tanzânia,-,-
Togo,-,-
Trindade e Tobago,-,-
Tunísia,-,-
"Turcas e Caicos, ilhas",-,-
Turquia,-,-
Tuvalu,-,-
Uruguai,35.216,90.702
Vanuatu,-,-
Venezuela,-,-
Vietnã,-,-
"Wallis e Futuna, Ilhas",-,-
Provisão de Navios e Aeronaves,-,-
Total,59.391.482,135.782.857
