Países,Quantidade (Kg),Valor (US$)
África do Sul,-,-
"Alemanha, República Democrática da",33,39
Angola,55.683,68.724
Antígua e Barbuda,-,-
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,-,-
Argentina,795,3.808
Aruba,-,-
Austrália,9.228,20.692
Áustria,-,-
Bahamas,463,674
Bangladesh,302,352
Barbados,187,545
Barein,-,-
Bélgica,27,67
Belize,-,-
Benin,-,-
Bermudas,-,-
Birmânia,-,-
Bolívia,22.246,31.793
Brasil,-,-
Bulgária,-,-
Cabo Verde,90,170
Camarões,-,-
Canadá,29.504,72.670
Catar,1,8
"Cayman, Ilhas",-,-
Chile,3,6
China,737.608,1.525.476
Chipre,156,40
Cingapura,-,-
Colômbia,-,-
Congo,-,-
Coreia do Sul,46.146,129.150
Costa do Marfim,-,-
Costa Rica,-,-
Coveite,-,-
Cuba,-,-
Curaçao,336,1.122
Dinamarca,200,299
"Dominica, Ilha de",-,-
El Salvador,-,-
Emirados Árabes Unidos,1.163,1.213
Equador,21.876,30.774
Espanha,44.592,25.002
Estados Unidos,866.096,2.125.880
Falkland (Malvinas),-,-
Filipinas,655,748
Finlândia,-,-
França,192,263
Gabão,-,-
Gana,103.346,175.088
Gibraltar,-,-
Granada,-,-
Grécia,412,438
Guatemala,-,-
Guiana,114,300
Guiana Francesa,300,90
Guiné Bissau,-,-
Guine Equatorial,-,-
Haiti,890,569
Hong Kong,9.236,14.083
Hungria,-,-
Ilha de Man,144,202
India,-,-
Indonésia,2,3
Irã,-,-
Iraque,-,-
Irlanda,930,2.373
Israel,-,-
Itália,1.655,1.952
Iugoslâvia,-,-
Jamaica,-,-
Japão,2.583.100,6.376.989
Líbano,16.800,25.432
Libéria,1.231,1.737
Líbia,74.988,95.805
Luxemburgo,-,-
Malásia,-,-
Malta,1.575,2.007
"Marshall, Ilhas",2.936,4.694
Mauritânia,-,-
México,-,-
Moçambique,-,-
Mônaco,-,-
Montenegro,-,-
Namíbia,-,-
Nigéria,12.390,16.966
Noruega,12,19
Nova Caledônia,-,-
Nova Zelândia,6.984,17.987
Países Baixos,36,55
Panamá,11.770,14.148
Paquistão,-,-
Paraguai,319.087,366.822
Peru,34.700,73.918
Polônia,-,-
Porto Rico,-,-
Portugal,79.062,88.208
Quênia,-,-
Reino Unido,5.290,13.668
República Centro Africana,-,-
República Dominicana,25.440,78.719
República Federativa da Rússia,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,1.749,3.686
Sri Lanka,-,-
Suécia,-,-
Suíça,-,-
Suriname,8.480,23.701
Tailândia,24,37
Taiwan (Formosa),54.173,132.752
Tanzânia,-,-
"Tcheca, República",-,-
Togo,-,-
Toquelau,24,39
Trinidade e Tobago,-,-
Turquia,230,455
Uruguai,-,-
Vanuatu,-,-
Venezuela,30.206,47.287
Total,5.224.898,11.619.744
