Países,Quantidade (Kg),Valor (US$)
África do Sul,3.739,6.324
"Alemanha, República Democrática da",1,1
Angola,-,-
Antígua e Barbuda,-,-
Antilhas Holandesas,-,-
Arábia Saudita,-,-
Argélia,-,-
Argentina,2.505,34.018
Aruba,-,-
Austrália,-,-
Áustria,-,-
Bahamas,-,-
Bangladesh,-,-
Barbados,-,-
Barein,-,-
Bélgica,-,-
Belize,-,-
Benin,-,-
Bermudas,-,-
Birmânia,-,-
Bolívia,4.468,11.723
Brasil,-,-
Bulgária,-,-
Cabo Verde,-,-
Camarões,-,-
Canadá,-,-
Catar,-,-
"Cayman, Ilhas",-,-
Chile,9.659,17.692
China,47,128
Chipre,-,-
Cingapura,-,-
Colômbia,12.000,44.520
Congo,-,-
Coreia do Sul,-,-
Costa do Marfim,-,-
Costa Rica,-,-
Coveite,-,-
Cuba,-,-
Curaçao,-,-
Dinamarca,-,-
"Dominica, Ilha de",-,-
El Salvador,-,-
Emirados Árabes Unidos,-,-
Equador,-,-
Espanha,-,-
Estados Unidos,-,-
Falkland (Malvinas),-,-
Filipinas,-,-
Finlândia,-,-
França,-,-
Gabão,-,-
Gana,-,-
Gibraltar,-,-
Granada,-,-
Grécia,-,-
Guatemala,-,-
Guiana,-,-
Guiana Francesa,-,-
Guiné Bissau,-,-
Guine Equatorial,-,-
Haiti,-,-
Hong Kong,77,103
Hungria,-,-
Ilha de Man,-,-
India,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,-,-
Israel,-,-
Itália,-,-
Iugoslâvia,-,-
Jamaica,-,-
Japão,2.168.980,6.749.165
Líbano,-,-
Libéria,-,-
Líbia,-,-
Luxemburgo,-,-
Malásia,-,-
Malta,-,-
"Marshall, Ilhas",-,-
Mauritânia,-,-
México,83.291,309.005
Moçambique,-,-
Mônaco,-,-
Montenegro,-,-
Namíbia,-,-
Nigéria,-,-
Noruega,2.016,6.655
Nova Caledônia,-,-
Nova Zelândia,-,-
Países Baixos,30,130
Panamá,-,-
Paquistão,-,-
Paraguai,52.267,71.708
Peru,5.035,18.881
Polônia,-,-
Porto Rico,-,-
Portugal,-,-
Quênia,8,4
Reino Unido,-,-
República Centro Africana,-,-
República Dominicana,14.310,54.564
República Federativa da Rússia,-,-
Rússia,-,-
São Tomé e Príncipe,-,-
Senegal,-,-
Serra Leoa,-,-
Singapura,-,-
Sri Lanka,-,-
Suécia,-,-
Suíça,-,-
Suriname,21.750,78.278
Tailândia,2.700,10.800
Taiwan (Formosa),-,-
Tanzânia,-,-
"Tcheca, República",-,-
Togo,-,-
Toquelau,-,-
Trinidade e Tobago,37.100,137.106
Turquia,-,-
Uruguai,160,620
Vanuatu,-,-
Venezuela,53.280,168.408
Total,2.473.423,7.719.833
