Países,Quantidade (Kg),Valor (US$)
Africa do Sul,17.583,72.077
Alemanha,26.853,169.989
Argentina,757.716,2.282.614
Austrália,16.701,27.592
Áustria,1.269,11.571
Bermudas,-,-
Bahamas,-,-
Bélgica,-,-
Brasil,15.464,238.268
Bulgária,-,-
Canada,-,-
Chile,233.064,912.613
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,518,2.539
Espanha,1.440.241,4.463.736
Estados Unidos,13.239,105.197
França,1.610.293,13.991.734
Geórgia,-,-
Granada,-,-
Grécia,230,318
Hong Kong,-,-
Hungria,585,1.379
Indonésia,66,529
Irlanda,-,-
Israel,5.035,17.085
Itália,1.874.314,4.790.173
Japão,-,-
Luxemburgo,518,4.067
México,133,1.104
Moldávia,-,-
Nova Zelândia,72,657
Países Baixos,827,47.027
Panamá,-,-
Peru,-,-
Portugal,144.296,621.259
Reino Unido,1.320,11.869
Romênia,-,-
Suíça,-,-
Tunísia,-,-
Ucrânia,-,-
Uruguai,2.241,22.983
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,6.162.578,27.796.380
