Países,Quantidade (Kg),Valor (US$)
Africa do Sul,13.125,13.209
Alemanha,6.496,46.692
Argentina,-,-
Austria,-,-
Canadá,-,-
"Coreia do Sul, República",85.145,49.712
"Coreia do Norte, República",15.651,22.621
Chile,23.790,29.024
China,-,-
Dinamarca,-,-
Espanha,-,-
Estados Unidos,23.578,28.765
França,862,2.229
Guiana,-,-
Israel,2.575,4.651
itália,225,771
Japão,-,-
Líbano,-,-
México,-,-
Países Baixos,-,-
Panamá,-,-
Peru,-,-
Portugal,-,-
Reino Unido,-,-
Taiwan,-,-
Turquia,5.052,3.846
Uruguai,-,-
Venezuela,-,-
Outros,-,-
Total,176.499,201.520
