Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,151.500,397.825
"Alemanha, República Democrática",-,-
Arábia Saudita,-,-
Argentina,19.758.017,36.404.746
Austrália,-,-
Bélgica,-,-
Chile,4.411.180,7.107.544
China,72.000,111.390
China Continental,-,-
Cingapura,-,-
Costa Rica,-,-
Emirados,-,-
Egito,-,-
Espanha,-,-
Estados Unidos,7.578,58.262
França,-,-
Grécia,-,-
Guiana Britânica,-,-
Índia,1.293.900,1.379.545
Irã,786.500,1.832.934
Itália,-,-
Japão,-,-
México,-,-
Países Baixos,-,-
Paraguai,-,-
Peru,25.000,40.630
Portugal,-,-
Reino Unido,-,-
Suécia,-,-
Turquia,2.621.500,4.152.236
Uruguai,-,-
Uzbequistão,2.045.600,2.433.719
Venezuela,-,-
Não consta na tabela,-,-
Outros,-,-
Total,31.172.775,53.918.831
