Países,Quantidade (Kg),Valor (US$)
Africa do Sul,475.331,1.985.184
Alemanha,114.866,414.070
Argélia,-,-
Arábia Saudita,-,-
Argentina,12.732.815,49.524.694
Armênia,-,-
Austrália,553.190,1.703.815
Áustria,56.849,227.204
Bermudas,-,-
Bélgica,-,-
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,473,5.747
Bulgária,5.947,21.988
Canada,-,-
Chile,28.288.212,90.281.256
China,-,-
"Coreia do Sul, República",-,-
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,2.192,25.307
Eslováquia,-,-
Espanha,2.772.104,13.570.874
Estados Unidos,518.888,2.817.086
França,3.265.362,23.336.291
Geórgia,33.750,134.202
"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Grécia,13.241,71.175
Hong Kong,-,-
Hungria,10.911,140.198
Indonésia,-,-
Irlanda,-,-
Israel,24.622,97.645
Itália,8.308.831,30.799.292
Japão,-,-
Iugoslávia,-,-
Líbano,6.588,75.810
Luxemburgo,-,-
Macedônia,-,-
Marrocos,-,-
México,-,-
Moldávia,-,-
Montenegro,-,-
Noruega,-,-
Nova Zelândia,90.728,840.521
Países Baixos (Holanda),-,-
Panamá,-,-
Paraguai,-,-
Peru,-,-
Porto Rico,-,-
Portugal,9.299.080,35.729.522
Reino Unido,127,2.789
Republica Dominicana,-,-
Romênia,-,-
Rússia,-,-
San Marino,-,-
Sérvia,-,-
Síria,-,-
Suazilândia,-,-
Suíça,-,-
"Tcheca, República",-,-
Tunísia,8.000,20.892
Turquia,-,-
Ucrânia,-,-
Uruguai,1.372.329,3.740.613
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,67.954.436,255.566.175
