Países,Quantidade (Kg),Valor (US$)
Africa do Sul,1.138.732,3.241.298
Alemanha,83.289,315.959
Argélia,-,-
Arábia Saudita,-,-
Argentina,15.461.740,51.770.842
Armênia,-,-
Austrália,354.641,1.246.545
Áustria,2.655,24.629
Bermudas,-,-
Bélgica,4.376,45.221
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,845.617,260.135
Bulgária,35.284,68.234
Canada,-,-
Chile,51.787.643,145.628.860
China,1.000,613
"Coreia do Sul, República",-,-
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,-,-
Eslovênia,-,-
Eslováquia,21.424,64.828
Espanha,7.240.535,19.834.451
Estados Unidos,1.372.347,4.110.641
França,5.921.728,25.280.255
Geórgia,-,-
"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Grécia,40.775,139.486
Hong Kong,-,-
Hungria,23.813,168.353
Indonésia,-,-
Irlanda,-,-
Israel,37.302,120.463
Itália,11.538.990,33.707.111
Japão,-,-
Iugoslávia,-,-
Líbano,12.737,93.480
Luxemburgo,-,-
Macedônia,-,-
Marrocos,-,-
México,-,-
Moldávia,-,-
Montenegro,-,-
Noruega,5,27
Nova Zelândia,31.379,248.412
Países Baixos (Holanda),-,-
Panamá,-,-
Paraguai,-,-
Peru,-,-
Porto Rico,-,-
Portugal,17.345.709,45.032.247
Reino Unido,16,1.033
Republica Dominicana,-,-
Romênia,18.509,52.150
Rússia,-,-
San Marino,-,-
Sérvia,-,-
Síria,398,269
Suazilândia,-,-
Suíça,138,2.873
"Tcheca, República",-,-
Tunísia,-,-
Turquia,-,-
Ucrânia,865,931
Uruguai,5.009.098,7.751.966
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,118.330.745,339.211.312
