Países,Quantidade (Kg),Valor (US$)
Africa do Sul,18.659,114.275
Alemanha,5.093,34.413
Argentina,807.366,3.221.463
Austrália,-,-
Áustria,698,6.352
Bermudas,-,-
Bahamas,-,-
Bélgica,-,-
Brasil,8.606,37.228
Bulgária,222,546
Canada,-,-
Chile,133.935,599.993
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,8,271
Eslovênia,445,2.329
Espanha,925.502,4.519.845
Estados Unidos,27.023,101.802
França,1.230.946,20.831.149
Geórgia,-,-
Granada,-,-
Grécia,329,1.459
Hong Kong,-,-
Hungria,518,1.715
Indonésia,-,-
Irlanda,-,-
Israel,-,-
Itália,1.095.148,4.462.987
Japão,-,-
Luxemburgo,-,-
México,-,-
Moldávia,-,-
Nova Zelândia,450,3.023
Países Baixos,-,-
Panamá,-,-
Peru,305,977
Portugal,60.430,316.889
Reino Unido,-,-
Romênia,743,1.011
Suíça,-,-
Tunísia,-,-
Ucrânia,-,-
Uruguai,1.068,3.310
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,4.317.494,34.261.037
