Países,Quantidade (Kg),Valor (US$)
Africa do Sul,7.154,5.841
Alemanha,6.540,75.902
Argentina,59.028,80.898
Austria,-,-
Canadá,-,-
"Coreia do Sul, República",30.022,44.524
"Coreia do Norte, República",-,-
Chile,94.940,183.525
China,-,-
Dinamarca,-,-
Espanha,-,-
Estados Unidos,68.730,108.205
França,-,-
Guiana,-,-
Israel,1.200,1.656
itália,774,1.594
Japão,-,-
Líbano,-,-
México,-,-
Países Baixos,-,-
Panamá,-,-
Peru,10.238,8.908
Portugal,-,-
Reino Unido,-,-
Taiwan,-,-
Turquia,-,-
Uruguai,-,-
Venezuela,-,-
Outros,-,-
Total,278.626,511.053
