Países,Quantidade (Kg),Valor (US$)
Afeganistão,400.000,669.059
África do Sul,184.250,596.923
"Alemanha, República Democrática",-,-
Arábia Saudita,-,-
Argentina,20.533.473,43.262.321
Austrália,-,-
Bélgica,-,-
Chile,1.127.280,2.614.062
China,-,-
China Continental,19.200,51.100
Cingapura,38.150,97.572
Costa Rica,-,-
Emirados,35.460,100.631
Egito,-,-
Espanha,-,-
Estados Unidos,391.515,1.180.759
França,-,-
Grécia,4.095,25.496
Guiana Britânica,-,-
Índia,-,-
Irã,533.570,1.250.450
Itália,10,39
Japão,-,-
México,-,-
Países Baixos,-,-
Paraguai,-,-
Peru,-,-
Portugal,13,59
Reino Unido,-,-
Suécia,-,-
Turquia,987.310,1.735.466
Uruguai,-,-
Uzbequistão,40.000,63.483
Venezuela,-,-
Não consta na tabela,-,-
Outros,-,-
Total,24.294.326,51.647.420
