Países,Quantidade (Kg),Valor (US$)
Africa do Sul,722.715,3.033.932
Alemanha,115.804,483.316
Argélia,-,-
Arábia Saudita,-,-
Argentina,13.437.321,53.815.956
Armênia,-,-
Austrália,236.742,1.008.851
Áustria,2.770,32.116
Bermudas,-,-
Bélgica,-,-
Bolívia,-,-
Bósnia-Herzegovina,-,-
Brasil,449,6.011
Bulgária,15.019,46.857
Canada,1.530,25.958
Chile,35.479.279,113.375.484
China,-,-
"Coreia do Sul, República",-,-
Croácia,-,-
Cuba,-,-
Emirados Árabes Unidos,35,1.138
Eslovênia,4.190,23.377
Eslováquia,-,-
Espanha,2.760.797,12.797.753
Estados Unidos,788.773,4.171.731
França,3.592.782,27.480.375
Geórgia,-,-
"Geórgia do Sul e Sandwich do Sul, Ilhas",-,-
Grécia,24.244,107.195
Hong Kong,-,-
Hungria,18.733,114.610
Indonésia,-,-
Irlanda,-,-
Israel,7.734,40.372
Itália,8.566.756,31.697.736
Japão,-,-
Iugoslávia,-,-
Líbano,47.610,270.145
Luxemburgo,-,-
Macedônia,252,497
Marrocos,-,-
México,-,-
Moldávia,-,-
Montenegro,-,-
Noruega,-,-
Nova Zelândia,106.251,843.533
Países Baixos (Holanda),-,-
Panamá,-,-
Paraguai,-,-
Peru,3.201,7.906
Porto Rico,-,-
Portugal,9.735.153,37.071.142
Reino Unido,315,9.410
Republica Dominicana,-,-
Romênia,4.163,5.629
Rússia,-,-
San Marino,-,-
Sérvia,-,-
Síria,-,-
Suazilândia,-,-
Suíça,-,-
"Tcheca, República",-,-
Tunísia,-,-
Turquia,-,-
Ucrânia,-,-
Uruguai,1.237.537,3.782.282
Não consta na tabela,-,-
Não declarados,-,-
Outros,-,-
Total,76.910.155,290.253.312
